ID,Topic,Title,Content
11,Computer Science,cheating recursive model,extent agent misspecified subjective model predict false correlation study analyst utilizes model take form recursive system linear regression equation analyst fit equation minimize sum squared error arbitrarily large sample characterize maximal pairwise correlation analyst predict given generic objective covariance matrix subject constraint estimated model distort mean variance individual variable show number variable model grows false pairwise correlation become arbitrarily close one regardless true correlation
12,Computer Science,vickrey income averaging,consider small set axiom income averaging recursivity continuity boundary condition present property yield unique averaging function density reflected brownian motion drift started current income moving past income averaging done short past weighting function asymptotically converging gaussian averaging done long horizon weighing function converges exponential distribution intermediate averaging scale derive explicit solution interpolates two
13,Computer Science,subjective complexity uncertainty,complexity problem choosing among uncertain act salient feature many environment departure expected utility theory observed propose axiomatize model choice uncertainty size partition respect act measurable arises endogenously measure subjective complexity derive representation incomplete simple bound preference act complex perspective decision maker bracketed simple act related statewise dominance key axiom motivated model learning limited data consider choice behavior characterized cautious completion simple bound preference discus relationship model model ambiguity aversion develop general comparative static technique explore application portfolio choice contracting insurance choice
14,Computer Science,asset price capital share risk theory evidence,asset pricing model using longrun capital share growth risk recently found successfully explain u stock return paper adopts recursive preference utility framework derive heterogeneous asset pricing model capital share riskswhile modeling capital share risk account elevated consumption volatility high income stockholder capital risk strong volatility effect recursive asset pricing model empirical evidence presented capital share growth also source risk stock return volatility uncover contrasting unconditional conditional asset pricing evidence capital share risk
15,Computer Science,matching multidimensional type theory application,becker present bilateral matching model scalar type describe agent framework establishes condition positive sorting agent attribute unique market outcome becker celebrated sorting result applied address many economic question however recent empirical study field health household labor economics suggest agent multiple outcomerelevant attribute paper study matching model multidimensional type offer multidimensional generalization concordance supermodularity construct three multidimensional sorting pattern two class multidimensional complementarity sorting pattern identify sufficient condition guarantee optimality practice observe sorting pattern observed attribute aggregated unobserved characteristic reconcile theory practice establish link production complementarity aggregated sorting pattern finally examine relationship agent health status spouse education level among u household within framework multidimensional matching market preliminary analysis reveals weak positive association agent health status spouse education level weak positive association estimated product three factor attraction bettereducated individual b attraction healthier individual c weak positive association agent health status education level attraction channel suggests insurance risk associated twoperson family plan higher aggregate risk associated two individual policy
16,Computer Science,decisionconflict multicriteria logit,study two random nonforced choice model explain behavioural pattern suggesting nochoice outside option often selected people find hard decide market alternative available even desirable decisionconflict logit extends logit model outside option assigning menudependent value option value capture degree complexitydecision difficulty relevant menu allows choice probability outside option either increase decrease menu expanded depending many well attractive option added multicriteria logit special case model introduces multiple utility function jointly predict behaviour multiplicativelogit way every multicriteria logit admits tractable discretechoice formulation
17,Computer Science,payoff information learning signaling game,add assumption player know opponent payoff function rationality model nonequilibrium learning signaling game agent born player role play random opponent every period inexperienced agent uncertain prevailing distribution opponent play believe opponent never choose conditionally dominated strategy agent engage active learning update belief based personal observation payoff information refine expand learning prediction since patient young sender experimentation incentive depend receiver response deem plausible show payoff knowledge limiting set longrun learning outcome bounded rationalitycompatible equilibrium rce bounded uniform rce rce refine intuitive criterion cho kreps include divine equilibrium bank sobel uniform rce sometimes always exists implies universally divine equilibrium
18,Computer Science,playercompatible learning playercompatible equilibrium,playercompatible equilibrium pce imposes crossplayer restriction magnitude player tremble onto different strategy restriction capture idea tremble correspond deliberate experiment agent unsure prevailing distribution play pce selects intuitive equilibrium number example tremblinghand perfect equilibrium selten proper equilibrium myerson bite show rational learning weighted fictitious play imply compatibility restriction steadystate setting
19,Computer Science,investigating wheat price multiagent model,paper build computational model analysis international wheat spot price formation dynamic dynamic internationally exchanged quantity model calibrated using faostat data evaluate insample predictive power model able generate wheat price twelve international market wheat used quantity twentyfour world region time span considered go study particular attention paid impact russian federation grain export ban wheat price internationally traded quantity among result find wheat average weighted world price would lower observed one russian federation would imposed export ban
20,Computer Science,exceeding expectation stochastic dominance general decision theory,principle rational agent maximize expected utility choiceworthiness intuitively plausible many ordinary case decisionmaking uncertainty le plausible case extreme lowprobability risk like pascal mugging intolerably paradoxical case like st petersburg pasadena game paper show certain condition stochastic dominance reasoning capture plausible implication expectational reasoning avoiding pitfall specifically given sufficient background uncertainty choiceworthiness one option many expectationmaximizing gamble stochastically dominate alternative vacuum become stochastically dominant virtue background uncertainty even condition stochastic dominance require agent accept option whose expectational superiority depends sufficiently small probability extreme payoff sort background uncertainty result depend look unavoidable agent measure choiceworthiness option part total amount value resulting world least agent stochastic dominance offer plausible general principle choice uncertainty explain apparent rational constraint choice previously recognized
21,Computer Science,banking stability system matter rate return fixed stochastic,purpose compare perfect stochastic return sr model like islamic bank fixed return fr model conventional bank measuring impact macroeconomic level prove optimal choice investor share sr model alpha realizes indifference financial institution toward sr fr model exists alpha le alpha bank strictly prefers sr model also exists alpha gamma lambda verifying condition alpha sharing party economy better sr model economic welfare could improved paretoefficient way
22,Computer Science,preference identification,experimenter seek learn subject preference relation experimenter produce pair alternative pair subject asked choose argue general large finite data give close approximation subject preference even limiting countably infinite data enough infer preference perfectly provide sufficient condition set alternative preference sequence pair observation finitely many choice allows experimenter learn subject preference arbitrary precision preference identified sufficient condition show harder identify utility function illustrate result several example including consumer choice expected utility preference anscombeaumann model
23,Computer Science,strictly strategyproof auction,strictly strategyproof mechanism one asks agent use strictly dominant strategy canonical onedimensional mechanism design setting private value show strict strategyproofness equivalent strict monotonicity plus envelope formula echoing wellknown characterisation weak strategyproofness consequence strategyproofness made strict arbitrarily small modification strictness essentially free
24,Computer Science,dynamic random subjective expected utility,dynamic random subjective expected utility drseu allows model choice data observed agent population agent whose belief objective payoffrelevant state taste evolve stochastically observable augmented stochastic choice function ascf allows contrast previous work decision theory direct test whether agent belief reflect true datagenerating process conditional private information well identification possibly incorrect belief give axiomatic characterization agent satisfies model static well dynamic setting look case agent correct belief evolution objective state well case belief incorrect unforeseen contingency impossible also distinguish two subvariants dynamic model coincide static setting evolving seu sophisticated agent utility evolves according bellman equation gradual learning agent learning taste prove easy natural comparative static result degree belief incorrectness well speed learning taste auxiliary result contained online appendix extend previous decision theory work menu choice stochastic choice literature technical well conceptual perspective
25,Computer Science,characterization phelpsian statistical discrimination,establish statistical discrimination possible impossible uniquely identify signal structure observed employer realized empirical distribution skill impossibility statistical discrimination shown equivalent existence fair skilldependent remuneration worker finally connect statistical discrimination literature bayesian persuasion establishing discrimination absent optimal signaling problem result linear payoff function well kind converse
26,Computer Science,existence equilibrium price pedagogical proof,assumption made mascolell et al develop short simple complete proof existence equilibrium price based excess demand function result obtained applying brouwer fixed point theorem trimmed simplex contain price equal zero mathematical technique based result obtained neuefeind geanakoplos
27,Computer Science,mechanism design news utility,news utility idea utility agent depends change belief consumption money introduce news utility otherwise classical static bayesian mechanism design model show key role played timeline mechanism ie whether delay announcement stage participation stage play stage realization stage mechanism depending timing agent news utility experience two additional news utility effect surprise effect derived comparing premechanism belief well realization effect derived comparing postplay belief actual outcome mechanism look two distinct mechanism design setting reflecting two main strand classical literature first model monopolist screen agent according magnitude loss aversion second model consider general multiagent bayesian mechanism design setting uncertainty player stem knowing intrinsic type agent give application auction public good provision illustrate news utility change classical result model characterize optimal design timeline timeline featuring delay participation play delay realization never optimal either model screening model optimal timeline one without delay auction setting fairly natural assumption optimal timeline delay three stage mechanism
28,Computer Science,k th price auction catalan number,paper establishes interesting link k th price auction catalan number showing distribution linear density bid function symmetric increasing equilibrium k th price auction kgeq represented finite series term whose ell th term involves ell th catalan number using integral representation catalan number together classical combinatorial identity derive closed form unique symmetric increasing equilibrium k th price auction nonuniform distribution
29,Computer Science,structure equilibrium trading network friction,several structural result set competitive equilibrium trading network friction established lattice theorem rural hospital theorem existence sideoptimal equilibrium groupincentivecompatibility result hold imperfectly transferable utility presence friction result developed trading network model also imply analogous new result exchange economy combinatorial demand twosided matching market transfer
30,Computer Science,repeated coordination private learning,study repeated game payoff externality observable action two player receive information time underlying payoffrelevant state strategically coordinate action player learn true state private signal well action others commonly learn true state cripps et al coordinate every equilibrium show exist stable equilibrium player overcome unfavorable signal realization eventually coordinate correct action discount factor high discount factor show addition player also achieve efficient payoff
31,Computer Science,indirect cost information,study indirect cost information sequential information cost minimization key subadditivity condition together monotonicity equivalently characterizes class indirect cost function generated direct information cost adding extra uniform posterior separability condition equivalently characterizes indirect cost generated direct cost favoring incremental evidence also provide necessary sufficient condition prior independent direct cost generates posterior separable indirect cost
32,Computer Science,core economy endogenous social division labour,paper considers core competitive market economy endogenous social division labour theory founded notion consumerproducer consumes well produce commodity first show core economy endogenous social division labour founded deviation coalition arbitrary size extending seminal insight vind schmeidler pure exchange economy furthermore establish equivalence core set competitive equilibrium continuum economy endogenous social division labour analysis also concludes selforganisation social division labour incorporated edgeworthian barter process directly formulated core equivalence result stated structured core concept based renegotiations among fully specialised economic agent ie coalition use fully developed internal division labour approach bridge gap standard economy social production coalition production economy therefore straightforward natural interpretation coalitional improvement core developed coalition production economy
33,Computer Science,note contest constrained choice set effort,apply fundamental property payoff function contest two identical riskneutral player choice set effort constrained show nash equilibrium pure strategy exists except special case unique shown equilibrium near unconstrained equilibrium perhaps surprisingly case player different prize evaluation
34,Computer Science,time preference information acquisition,consider sequential implementation target information structure characterize set decision time distribution induced signal process satisfy perperiod learning capacity constraint find decision time distribution expectation maximal minimal element meanpreserving spread order deterministic distribution exponential distribution result implies time preference risk loving eg standard hyperbolic discounting poisson signal optimal since induces risky exponential decision time distribution time preference risk neutral eg constant delay cost signal process equally optimal
35,Computer Science,structure environment complexity rational choice procedure,beginning herbert simon literature bounded rationality investigated great detail internal limitation affect agent choice process structure choice environment deemed important internal limitation simon mostly ignored introduce model environment interaction agent choice process focusing online environment agent use filter sort functionality support decisionmaking show choice process relying environment rationalized moreover sufficiently many alternative filtering sorting quick way choose rationally
36,Computer Science,selling information,consider monopolistic pricing informational good buyer willingness pay information inferring unknown payoff action decision making monopolistic seller buyer observes private signal payoff seller signal binary commit sell statistical experiment signal buyer assuming buyer decision problem involves rich action characterize profit maximizing menu contains continuum experiment containing different amount information also find complementarity buyer private information information provision buyer private signal informative optimal menu contains informative experiment
37,Computer Science,matching dynamic imbalanced market,study dynamic matching exchange market easy hardtomatch agent greedy policy attempt match agent upon arrival ignores positive externality waiting agent generate facilitating future matchings prove tradeoff thicker market faster matching vanishes large market greedy policy lead shorter waiting time agent matched policy empirically confirm finding data national kidney registry greedy matching achieves many transplant commonlyused policy monthlybatching shorter patient waiting time
38,Computer Science,completeness transitivity preference mixture set,paper show presence archimedean mixturecontinuity property binary relation empirically nonfalsifiable principle foreclose possibility consistency transitivity without decisiveness completeness decisiveness without consistency presence weak consistency condition neither basic result sharpened specialized context generalized mixture set mixture set sense hersteinmilnor relate result antecedent literature view part investigation interplay structure choice space behavioral assumption binary relation defined e research program due eilenberg sonnenschein one schmeidler especially influential contribution
39,Computer Science,model selection curse,statistician take action behalf agent based agent selfreported personal data sample involving people action take estimated function agent report estimation procedure involves model selection ask following question truthtelling optimal agent given statistician procedure analyze question context simple example highlight role model selection suggest simple exercise may implication broader issue human interaction machine learning algorithm
40,Computer Science,optimal policy design sugar tax,healthy nutrition promotion regulation long regarded tool increasing social welfare one avenue taken past decade sugar consumption regulation introducing sugar tax tax increase price extensive sugar containment product soft drink article consider typical problem optimal regulatory policy design task determine sugar tax rate maximizing social welfare model problem sequential game represented threelevel mathematical program upper level government decides upon tax rate middle level producer decide product pricing lower level consumer decide upon preference towards product general problem computationally intractable problem product type polynomially solvable even arbitrary number heterogeneous consumer paper present simple intuitive easily implementable framework computing optimal sugar tax market product resembles reality soft drink instance typically categorized either regular nosugar drink eg cocacola cocacola zero illustrate algorithm using example based real data draw conclusion specific local market
41,Computer Science,loss integration matching market large,although integration twosided matching market using stable mechanism generates expected gain integration show worstcase scenario negative loss integration large enough average rank agent spouse decrease length preference list stable matching mechanism
42,Computer Science,revealed stochastic preference oneparagraph proof generalization,mcfadden richter later mcfadden show axiom revealed stochastic preference characterizes rationalizability choice probability random utility model finite universal choice space note prof result one short elementary paragraph extends set valued choice latter requires different axiom reported mcfadden
43,Computer Science,corrigendum managerial incentive problem dynamic perspective,paper corrects mathematical error holmstr om clarifies assumption sufficient result holmstr om result remain qualitatively
44,Computer Science,uncertainty robustness surplus extraction,paper study robust version classic surplus extraction problem designer know belief type belong set design mechanism suitable possible belief set derive necessary sufficient condition full extraction setting show natural setvalued analogue classic convex independence condition identified cremer mclean show full extraction neither generically possible generically impossible contrast standard setting full extraction generic full extraction fails show natural additional condition restrict nature contract designer offer surplus designer obtain
45,Computer Science,characterizing permissibility proper rationalizability iterated admissibility incomplete information,characterize three interrelated concept epistemic game theory permissibility proper rationalizability iterated admissibility define lexicographic epistemic model game incomplete information based give two group characterization first group characterizes permissibility proper rationalizability second group characterizes permissibility alternative way iterated admissibility group condition latter stronger former corresponds fact proper rationalizability iterated admissibility two compatible refinement permissibility within complete information framework intrinsic difference two group role rationality first group need second group
46,Computer Science,mechanism design limited commitment,develop tool akin revelation principle mechanism design limited commitment identify canonical class mechanism rich enough replicate payoff equilibrium mechanismselection game uninformed designer privately informed agent cornerstone methodology idea mechanism encode rule determine allocation also information designer obtains interaction agent therefore much designer learns key tension design limited commitment becomes explicit part design show insight used transform designer problem constrained optimization one usual truthtelling participation constraint one must add designer sequential rationality constraint
47,Computer Science,constrained information design toolkit,note show tool le treust tomala extend case multiple inequality equality constraint showcase power result paper analyze problem information design subject constraint fact show doval skreta used provide upper bound number posterior designer limited commitment us optimal mechanism
48,Computer Science,model competing narrative,formalize argument political disagreement traced clash narrative drawing bayesian network literature model narrative causal model map action consequence weaving selection random variable story equilibrium defined probability distribution narrativepolicy pair maximizes representative agent anticipatory utility capturing idea public opinion favor hopeful narrative equilibrium analysis shed light structure prevailing narrative variable involve policy sustain contribution political polarization
49,Computer Science,measuring knowledge recognition knowledge entropy,people employ knowledge recognize thing paper concerned measure people knowledge recognition change discussion based three assumption firstly construct two evolution process equation one uncertainty knowledge uncertainty ignorance secondly solving equation formula measuring level knowledge level ignorance obtained two particular case thirdly new concept knowledge entropy introduced similarity boltzmann entropy difference shannon entropy examined finally pointed obtained formula knowledge knowledge entropy reflect two fundamental principle knowledge level group necessarily simple sum individual knowledge level individual knowledge entropy never increase individual thirst knowledge never decrease
50,Computer Science,fair efficient division among family,fair division theory mostly involves individual consumption resource often allocated group family country whose member consume bundle different preference fair efficient allocation exist economy family adapt three common notion fairness fairshare noenvy egalitarianequivalence economy family stronger adaptation individual fairness requires individual family perceives division fair weaker one family fairness requires family whole treated single agent typically incomplete preference perceives division fair individualfairshare familynoenvy familyegalitarianequivalence compatible efficiency broad condition hold individualnoenvy two family contrast individualnoenvy three family individualegalitarianequivalence two family typically incompatible efficiency unlike situation economy individual common market equilibrium approach fairness limited use economy family contrast leximin approach broadly applicable yield efficient individualfairshare familyegalitarianequivalent allocation
51,Computer Science,price proportional embodied energy,observed proportionality nominal price average embodied energy interpreted conventional economic theory model presented place energy transfer focal point scarcity based idea good material rearrangement human rearrange matter energy transfer modified consumer producer problem autarkic agent show opportunity cost good given marginal energy transfer depend subjective objective factor eg consumer preference direct energy transfer allowing exchange perfect competition nominal price arise social manifestation good marginal energy transfer proportionality nominal price average embodied energy follows given relation latter marginal energy transfer
52,Computer Science,fair odds noisy probability,suggest one individual hold multiple degree belief outcome given evidence investigate implication noisy probability buyer seller binary option find odds agreed upon ensure zeroexpectation betting differ consistent relative frequency outcome precisely buyer seller agree odds higher lower reciprocal averaged unbiased probability average indicates outcome le likely occur chance favoritelongshot bias thereby emerges establish foundation equitable market corollary work suggests oldestablished way revealing someone degree belief wager may problematic previously thought implies betting market generally promise support rational decision
53,Computer Science,strategically simple mechanism,define investigate property mechanism call strategic simplicity meant capture idea strategically simple mechanism strategic choice require limited strategic sophistication define mechanism strategically simple choice based firstorder belief agent preference firstorder certainty agent rationality alone need agent form higherorder belief belief irrelevant optimal strategy dominant strategy mechanism strategically simple many mechanism strategically simple particular strategically simple mechanism may flexible dominant strategy mechanism bilateral trade problem voting problem
54,Computer Science,income fluctuation problem capital income risk optimality stability,paper study income fluctuation problem capital income risk ie dispersion rate return wealth wealth return labor earnings allowed serially correlated mutually dependent reward bounded unbounded rather general condition develop set new result existence uniqueness solution stochastic stability model economy well efficient computation ergodic wealth distribution variety application discussed quantitative analysis show stochastic volatility mean persistence wealth return nontrivial impact wealth inequality
55,Computer Science,mutual conversion preference map cookseiford vector,group decision making preference map cookseiford vector two concept way describing tiespermitted ordinal ranking paper show equivalent representing tiespermitted ordinal ranking transformation formula one given inherent consistency mutual conversion discussed proposed method illustrated example possible future application proposed formula also pointed
56,Computer Science,cost information,develop axiomatic theory information acquisition capture idea constant marginal cost information production cost generating two independent signal sum cost generating signal probability half cost half original cost together monotonicity continuity condition axiom determine cost signal vector parameter parameter clear economic interpretation determine difficulty distinguishing state argue cost function versatile modeling tool lead realistic prediction mutual information
57,Computer Science,theoretical framework consider energy transfer within growth theory,growth theory rarely considered energy despite invisible hand physical system develop theoretical framework place energy transfer centerstage growth theory based two principle good material rearrangement rearrangement done energy transferred prime mover eg worker engine derive implication principle autarkic agent maximizes utility subject energy budget constraint maximizes energy surplus relax constraint solution problem show growth driven positive marginal energy surplus energy good eg rice oil yet materializes prime mover accumulation perspective brings one framework several result previous attempt insert energy within growth theory reconciles economics natural science provides basis general reinterpretation economics growth interplay human desire thermodynamic process
58,Computer Science,causality decision theoretic approach,propose decisiontheoretic model akin savage useful defining causal effect within framework define mean decision maker dm act relation two variable causal next provide axiom preference show axiom equivalent existence unique directed acyclic graph dag represents dm preference notion representation two component graph factorizes conditional independence property dm subjective belief arrow point cause effect finally explore connection representation model used statistical causality literature example pearl
59,Computer Science,duesenberry theory consumption habit learning ratcheting,paper investigates consumption risk taking decision economic agent partial irreversibility consumption decision formalizing theory proposed duesenberry optimal policy exhibit type policy two wealth threshold within consumption stay constant consumption increase decrease threshold adjustment new threshold set share risky investment agent total investment inversely ushaped within band generates timevarying risk aversion fluctuate widely time property explain puzzle question asset pricing household portfolio choice eg aggregate consumption smooth whereas high equity premium high equity return high volatility risky share low whereas estimated risk aversion microlevel data small whether increase wealth impact risky share also partial irreversibility model explain excess sensitivity excess smoothness consumption
60,Computer Science,cartel stability quality differentiation,note considers cartel stability cartelized product vertically differentiated market share maintained precollusive level firm lowest competitive pricecost margin strongest incentive deviate collusive agreement lowestquality supplier tightest incentive constraint difference unit production cost sufficiently small
61,Computer Science,equivalent choice function stable mechanism,study condition existence stable groupstrategyproof mechanism manytoone matching model contract student preference monotone contract term show equivalence properly defined choice profile contract substitute law aggregate hold necessary sufficient condition existence stable groupstrategyproof mechanism result interpreted weak embedding result choice function contract observable substitute observable law aggregate demand hold
62,Computer Science,interdistrict school choice theory student assignment,interdistrict school choice programswhere student assigned school outside districtare widespread u yet marketdesign literature considered program introduce model interdistrict school choice present two mechanism produce stable efficient assignment consider three category policy goal assignment identify mechanism achieve introducing novel framework interdistrict school choice provide new avenue research market design
63,Computer Science,optimal insurance limited commitment finite horizon,study finite horizon optimal contracting problem riskneutral principal riskaverse agent receives stochastic income stream agent unable make commitment problem involves infinite number constraint time state world miao zhang developed dual approach problem considering lagrangian derived hamiltonjacobibellman equation infinite horizon consider similar lagrangian finite horizon transform dual problem infinite series optimal stopping problem optimal stopping problem provide analytic solution providing integral equation representation free boundary provide verification theorem value function original principal problem legenderfenchel transform integral value function optimal stopping problem also provide numerical simulation result optimal contracting strategy
64,Computer Science,credit cycle securitization credit default swap,present limitstoarbitrage model study impact securitization leverage credit risk protection cyclicity bank credit stable bank credit situation cycle credit expansion contraction appear unlevered securitization together mispricing securitized asset increase lending cyclicality favoring credit boom bust leverage change state affair respect simple securitization first volume real activity banking profit increase second bank sell security market decline selling put pressure falling price mispricing credit risk protection securitized asset influence real economy trading contract reduces amount funding available entrepreneur particularly highcreditrisk borrower trading decrease liquidity securitized asset especially based investment high credit risk
65,Computer Science,condition uniqueness gately point cooperative game,studying gately point established solution concept cooperative game point superadditive game gately point unique ie general concept rather setvalued actual point derive condition gately point guaranteed unique imputation provide geometric interpretation gately point understood intersection line defined two point set imputation uniqueness condition guarantee two point coincide provide demonstrative interpretation negative propensity disrupt briefly show uniqueness condition gately point include quasibalanced game discus relation gately point tau value context finally point relation cost game aca method end upon remark implementation gately point upcoming software package cooperative game theory
66,Computer Science,rps preference,consider model decision making based adaptive kperiod learning process prior selected according von neumannmorgenstern expected utility principle preference relation two prospect introduced defined condition prospect selected often show new preference similarity preference obtained kahneman tversky context prospect theory additionally establish limit large learning period new preference coincide expected utility principle
67,Computer Science,relational communication,study communication game informed sender uninformed receiver repeated interaction voluntary transfer transfer motivate receiver decisionmaking signal sender information although full separation always supported equilibrium partial complete pooling optimal receiver decisionmaking highly responsive information case receiver decisionmaking disciplined pooling extreme state tempted defect
68,Computer Science,noncooperative model contest network formation,paper study model weighted network formation bilateral interaction modeled tullock contest game possibility draw describe stable network different concept stability show nash stable network either empty network complete network complete network immune bilateral deviation allow limited farsightedness stable network immune bilateral deviation must complete partite network partition different size empty network efficient network provide several comparative static result illustrating importance network structure mediating effect shock intervention particular show increase likelihood draw nonmonotonic effect level wasteful contest spending society best knowledge paper first attempt model weighted network formation action individual neither strategic complement strategic substitute
69,Computer Science,theory practice agent based modeling practical implication economic planner,nowadays surrounded large number complex phenomenon ranging rumor spreading social norm formation rise new economic trend disruption traditional business deal phenomenon complex adaptive system ca framework found influential among social scientist especially economist powerful methodology ca modeling agentbased modeling abm gained growing application among academician practitioner abm show simple behavioral rule agent local interaction among microscale generate surprisingly complex pattern macroscale despite growing number abm publication researcher unfamiliar methodology study number work understand abm way rigorously developed therefore major focus paper help social science researcher especially economist get big picture abm know develop systematically rigorously
